params,accuracy,model_file,confusion_matrix,training_time
"{'max_depth': 10, 'min_samples_split': 2, 'max_features': 0.3, 'tfidf_max_features': 5000}",0.4333106993888835,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=2_max_features=0.3_tfidf_max_features=5000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=2_max_features=0.3_tfidf_max_features=5000.png,15.200953006744385
"{'max_depth': 10, 'min_samples_split': 2, 'max_features': 0.3, 'tfidf_max_features': 10000}",0.43306819284120673,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=2_max_features=0.3_tfidf_max_features=10000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=2_max_features=0.3_tfidf_max_features=10000.png,16.431331157684326
"{'max_depth': 10, 'min_samples_split': 2, 'max_features': 0.5, 'tfidf_max_features': 5000}",0.4333106993888835,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=2_max_features=0.5_tfidf_max_features=5000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=2_max_features=0.5_tfidf_max_features=5000.png,15.536742210388184
"{'max_depth': 10, 'min_samples_split': 2, 'max_features': 0.5, 'tfidf_max_features': 10000}",0.43301969153167136,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=2_max_features=0.5_tfidf_max_features=10000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=2_max_features=0.5_tfidf_max_features=10000.png,16.237112760543823
"{'max_depth': 10, 'min_samples_split': 10, 'max_features': 0.3, 'tfidf_max_features': 5000}",0.43306819284120673,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=10_max_features=0.3_tfidf_max_features=5000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=10_max_features=0.3_tfidf_max_features=5000.png,14.882360935211182
"{'max_depth': 10, 'min_samples_split': 10, 'max_features': 0.3, 'tfidf_max_features': 10000}",0.43301969153167136,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=10_max_features=0.3_tfidf_max_features=10000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=10_max_features=0.3_tfidf_max_features=10000.png,16.127619981765747
"{'max_depth': 10, 'min_samples_split': 10, 'max_features': 0.5, 'tfidf_max_features': 5000}",0.4332621980793481,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=10_max_features=0.5_tfidf_max_features=5000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=10_max_features=0.5_tfidf_max_features=5000.png,15.535566806793213
"{'max_depth': 10, 'min_samples_split': 10, 'max_features': 0.5, 'tfidf_max_features': 10000}",0.432971190222136,models/decision_tree/model_decision_tree_max_depth=10_min_samples_split=10_max_features=0.5_tfidf_max_features=10000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=10_min_samples_split=10_max_features=0.5_tfidf_max_features=10000.png,16.63392186164856
"{'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.3, 'tfidf_max_features': 5000}",0.44868561451159183,models/decision_tree/model_decision_tree_max_depth=20_min_samples_split=2_max_features=0.3_tfidf_max_features=5000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=20_min_samples_split=2_max_features=0.3_tfidf_max_features=5000.png,31.107826232910156
"{'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.3, 'tfidf_max_features': 10000}",0.4528082258220972,models/decision_tree/model_decision_tree_max_depth=20_min_samples_split=2_max_features=0.3_tfidf_max_features=10000.pkl,results/decision_tree/confusion_matrix_decision_tree_max_depth=20_min_samples_split=2_max_features=0.3_tfidf_max_features=10000.png,33.38780689239502
